Word,Count,Senses,Definition,Example 1,Example 2,Example 3,Example 4
acerb,5,,harsh or corrosive in tone,an acerbic tone piercing otherwise flowery prose,a barrage of acid comments,her acrid remarks make her many enemies,bitter words
acute,5,,,having or experiencing a rapid onset and short but severe course,acute appendicitis,the acute phase of the illness,acute patients
acute,5,,having or demonstrating ability to recognize or draw fine distinctions,an acute observer of politics and politicians,incisive comments,icy knifelike reasoning,as sharp and incisive as the stroke of a fang
adept,5,,having or showing knowledge and skill and aptitude,adept in handicrafts,an adept juggler,an expert job,a good mechanic
adust,5,,dried out by heat or excessive exposure to sunlight,a vast desert all adust,land lying baked in the heat,parched soil,the earth was scorched and bare
agile,5,,moving quickly and lightly,sleek and agile as a gymnast,as nimble as a deer,nimble fingers,quick of foot
alert,5,,mentally perceptive and responsive,an alert mind,alert to the problems,alive to what is going on,awake to the dangers of her situation
alert,5,,quick and energetic,a brisk walk in the park,a lively gait,a merry chase,traveling at a rattling rate
ample,5,,affording an abundant supply,had ample food for the party,copious provisions,food is plentiful,a plenteous grape harvest
angry,5,,feeling or showing anger,angry at the weather,angry customers,an angry silence,sending angry letters to the papers
ashen,5,,anemic looking from illness or emotion,a face turned ashen,the invalid's blanched cheeks,tried to speak with bloodless lips,a face livid with shock
awful,5,,causing fear or dread or terror,the awful war,an awful risk,dire news,a career or vengeance so direful that London was shocked
banal,5,commonplace,repeated too often,overfamiliar through overuse,bromidic sermons,his remarks were trite and commonplace,hackneyed phrases
basic,5,,,,,,
basic,5,introductory,serving as a base or starting point,a basic course in Russian,basic training for raw recruits,a set of basic tools,an introductory art course
beefy,5,,,muscular and heavily built,a beefy wrestler,had a tall burly frame,clothing sizes for husky boys
black,5,,being of the achromatic color of maximum darkness,having little or no hue owing to absorption of almost all incident light,black leather jackets,as black as coal,rich black soil
black,5,,(of events) having extremely unfortunate or dire consequences,bringing ruin,the stock market crashed on Black Friday,a calamitous defeat,the battle was a disastrous end to a disastrous campaign
black,5,,stemming from evil characteristics or forces,wicked or dishonorable,black deeds,a black lie,his black heart has concocted yet another black deed
black,5,,(used of conduct or character) deserving or bringing disgrace or shame,Man...has written one of his blackest records as a destroyer on the oceanic islands- Rachel Carson,an ignominious retreat,inglorious defeat,an opprobrious monument to human greed
