Word,Count,POS,Antonyms
abaft,5,adverb,fore
above,5,adverb,below|below
acute,5,adjective,chronic|obtuse
admit,5,verb,deny|reject|exclude
adult,5,noun,juvenile
aging,5,verb,rejuvenate
agree,5,verb,disagree|disagree
ahead,5,adverb,back;backward
aided,5,adjective,unassisted
alert,5,adjective,unalert
alien,5,noun,citizen|acquaintance
align,5,verb,skew
alike,5,adjective,unalike
aline,5,verb,skew
alive,5,adjective,dead|unanimated
allow,5,verb,prevent|forbid;disallow|deny
aloud,5,adverb,softly
amend,5,verb,worsen
amiss,5,adverb,perfectly
ample,5,adjective,meager
amply,5,adverb,meagerly|meagerly
angry,5,adjective,unangry
annul,5,verb,validate
anode,5,noun,cathode|cathode
anon.,5,adjective,onymous
apace,5,adverb,slowly
apply,5,verb,defy|exempt
aptly,5,adverb,incompetently
arise,5,verb,sit down|fall|go to bed;turn in
armed,5,verb,disarm
armed,5,adjective,unarmed|armless|unarmed
asset,5,noun,liability
atony,5,noun,tonicity
aunty,5,noun,uncle
avoid,5,verb,confront|validate
awake,5,verb,fall asleep
awake,5,adjective,asleep
aware,5,adjective,unaware|unmindful
awful,5,adjective,nice
awned,5,adjective,awnless
badly,5,adverb,well|well|well;advantageously|well|well
banks,5,verb,withdraw|mistrust
bared,5,verb,unbar
basal,5,adjective,cauline
basic,5,adjective,incidental
begin,5,verb,end|end|end
being,5,noun,nonbeing;nonexistence
being,5,verb,differ
below,5,adverb,above|above|upstairs
bends,5,verb,straighten|unbend
biped,5,adjective,quadrupedal;quadruped
birth,5,noun,death|death
black,5,noun,white|white
black,5,verb,whiten
black,5,adjective,white|white
blame,5,verb,absolve
blear,5,verb,focus
bless,5,verb,curse|desecrate
blest,5,verb,curse|desecrate
blest,5,adjective,cursed
blind,5,adjective,sighted
block,5,verb,unstuff|free|remember|unfreeze;unblock
blond,5,adjective,brunet
blown,5,verb,conserve
blunt,5,verb,sharpen|enliven
board,5,verb,get off
boney,5,adjective,boneless
bored,5,verb,interest
bound,5,verb,unbind|untie
bound,5,adjective,unbound|free|unbound
