lemma,Count,part_of_speech,hypernyms
aalii,5,noun,tree
abaca,5,noun,hemp|banana
abamp,5,noun,current unit
abase,5,verb,hurt
abash,5,verb,upset
abate,5,verb,decrease|decrease
abaya,5,noun,robe
abbey,5,noun,church|convent|monastery
abbot,5,noun,superior
abc's,5,noun,fundamentals
abele,5,noun,poplar
abhor,5,verb,hate
abide,5,verb,stay|permit
abies,5,noun,gymnosperm genus
abies,5,verb,right
abode,5,noun,address|housing
abode,5,verb,stay|permit
abohm,5,noun,resistance unit
abort,5,noun,termination
abort,5,verb,end|die|exhaust
above,5,noun,section
abuse,5,noun,mistreatment|disrespect|use
abuse,5,verb,treat|use|attack|use
abysm,5,noun,chasm
abyss,5,noun,chasm
abyss,5,verb,right
ackee,5,noun,edible fruit
acorn,5,noun,fruit
acres,5,noun,real property|area unit
acris,5,noun,amphibian genus
actin,5,noun,simple protein
actor,5,noun,performer|person
acute,5,noun,accent
adage,5,noun,saying
adams,5,noun,methylenedioxymethamphetamine
adapt,5,verb,change|change
addax,5,noun,antelope
adder,5,noun,calculator|calculator|viper
addle,5,verb,jumble|spoil
adept,5,noun,expert
adieu,5,noun,farewell
adios,5,noun,farewell
adman,5,noun,publicist
admit,5,verb,declare|permit|permit|accept|serve
admix,5,verb,blend
adobe,5,noun,clay|brick
adobo,5,noun,dish
adopt,5,verb,choose|accept|take office|change|take|write|accept
adore,5,verb,love
adorn,5,verb,change|be|equip
adult,5,noun,person|animal
advil,5,noun,nonsteroidal anti-inflammatory
aedes,5,noun,arthropod genus
aegir,5,noun,tidal flow
aegis,5,noun,endorsement|armor plate
aerie,5,noun,bird's nest|habitation
aesir,5,noun,norse deity
affix,5,noun,bound morpheme
affix,5,verb,attach|attach|attach
afisr,5,noun,agency
afspc,5,noun,command
agama,5,noun,agamid
agape,5,noun,love|love|religious ceremony
agate,5,noun,chalcedony
agave,5,noun,desert plant
agene,5,noun,trichloride
agent,5,noun,causal agent|representative|causal agent;substance|businessperson|official|semantic role
aggro,5,noun,aggravation
aghan,5,noun,hindu calendar month
aging,5,noun,organic process|organic process
aging,5,verb,develop|develop|change
agism,5,noun,discrimination
aglet,5,noun,sheath|braid
agony,5,noun,suffering|pain
agora,5,noun,israeli monetary unit|marketplace|marketplace
agree,5,verb,accept|equal|match|suit
ahura,5,noun,hindu deity
aided,5,verb,support|better
aides,5,noun,military officer|assistant
aides,5,verb,support|better
aioli,5,noun,sauce
aired,5,verb,expose|publicize|tell|dry|refresh
aisle,5,noun,passage|passageway|area
ajaia,5,noun,bird genus
ajuga,5,noun,asterid dicot genus
alarm,5,noun,fear|device|signal|clock
alarm,5,verb,frighten|warn
album,5,noun,medium|book
alcea,5,noun,dilleniid dicot genus
alces,5,noun,mammal genus
alder,5,noun,wood|tree
aldol,5,noun,organic compound
aleph,5,noun,letter
alert,5,noun,readiness|warning|signal
alert,5,verb,warn
aleut,5,noun,indian|community|eskimo-aleut
aleve,5,noun,nonsteroidal anti-inflammatory
algae,5,noun,protoctist
algin,5,noun,gum
algol,5,noun,algebraic language
alias,5,noun,name
alibi,5,noun,defense|defense
alibi,5,verb,excuse
alien,5,noun,traveler|intruder|hypothetical creature
alien,5,verb,transfer|change
align,5,verb,reorient|match|stand|adjust
aline,5,verb,reorient
alkyd,5,noun,synthetic resin
alkyl,5,noun,group
allay,5,verb,comfort|meet
alley,5,noun,street|lane
allis,5,noun,shad
allot,5,verb,distribute|give|give
allow,5,verb,accept|give|assign|yield|calculate|discount|permit
alloy,5,noun,mixture|impurity
alloy,5,verb,devalue|blend
allyl,5,noun,group
alnus,5,noun,hamamelid dicot genus
aloes,5,noun,purgative|succulent
aloha,5,noun,acknowledgment
alosa,5,noun,fish genus
alpha,5,noun,letter|start
altar,5,noun,table|structure
alter,5,verb,change|edit|sterilize
alula,5,noun,squama|feather
a'man,5,noun,international intelligence agency
amass,5,verb,increase|store
amati,5,noun,violin
amaze,5,verb,surprise|confuse
amber,5,noun,yellow|natural resin
ambit,5,noun,extent
amble,5,noun,walk
amble,5,verb,walk
ameba,5,noun,rhizopod
ameer,5,noun,ruler
amend,5,verb,revise|change|correct
ament,5,noun,inflorescence
amide,5,noun,organic compound
amigo,5,noun,friend
amine,5,noun,methane series
amino,5,noun,group
amish,5,noun,mennonite
amity,5,noun,friendliness|peace
amnio,5,noun,centesis;prenatal diagnosis
amora,5,noun,rabbi
amour,5,noun,sexual relationship
ampul,5,noun,bottle
amusd,5,noun,doctor's degree
amuse,5,verb,entertain|cheer
anasa,5,noun,arthropod genus
anele,5,verb,bless
angas,5,noun,west chadic
angel,5,noun,spiritual being|good person|patron
anger,5,noun,emotion|emotional arousal|mortal sin
anger,5,verb,arouse|feel
angle,5,noun,space|point of view|european
angle,5,verb,travel|bend|search|fish|bias
angst,5,noun,anxiety
angus,5,noun,beef
anima,5,noun,self
anime,5,noun,copal|natural resin
anion,5,noun,ion
anise,5,noun,herb|flavorer
anjou,5,noun,pear
ankle,5,noun,gliding joint
ankus,5,noun,prod
annex,5,noun,addition
annex,5,verb,assume|append
annon,5,noun,custard apple
annoy,5,verb,displease
annul,5,verb,cancel|cancel
annum,5,noun,year
annwn,5,noun,imaginary place
anode,5,noun,electrode|terminal
anole,5,noun,iguanid
anomy,5,noun,isolation|immorality
anova,5,noun,multivariate analysis
anser,5,noun,bird genus
antic,5,noun,diversion
antic,5,verb,joke
anura,5,noun,animal order
anvil,5,noun,block|auditory ossicle
anzac,5,noun,soldier
aorta,5,noun,artery
aotus,5,noun,mammal genus
apery,5,noun,impersonation
aphid,5,noun,plant louse
aphis,5,noun,arthropod genus
apios,5,noun,rosid dicot genus
apium,5,noun,rosid dicot genus
apnea,5,noun,symptom
appal,5,verb,disgust|frighten
apple,5,noun,edible fruit;pome|apple tree
apply,5,verb,refer|request|cover|distribute|compel|denote|give
appro,5,noun,approval
april,5,noun,gregorian calendar month
apron,5,noun,protective garment|site|stage|paved surface
apsis,5,noun,recess
arame,5,noun,seaweed
arava,5,noun,anti-tnf compound
arbor,5,noun,tree|rotating shaft|framework
arced,5,verb,bend
arcus,5,noun,cornea
ardea,5,noun,bird genus
ardeb,5,noun,dry unit
ardor,5,noun,eagerness|love|passion
areca,5,noun,feather palm
arena,5,noun,environment|area|structure|playing field
arere,5,noun,tree
arete,5,noun,ridge
argal,5,noun,wild sheep
argil,5,noun,clay
argon,5,noun,chemical element;noble gas
argot,5,noun,non-standard speech
argue,5,verb,present|converse|present
argus,5,noun,giant|pheasant
aries,5,noun,person
arise,5,verb,become|become|change posture|happen|travel|protest
arity,5,noun,number
arius,5,noun,fish genus
arles,5,noun,earnest
armed,5,verb,supply
armet,5,noun,helmet
armor,5,noun,protective covering|military unit|protective covering
armor,5,verb,equip
aroid,5,noun,herb
aroma,5,noun,property|smell
arras,5,noun,hanging
array,5,noun,arrangement|display|clothing|directional antenna
array,5,verb,arrange|stand
arrow,5,noun,mark|projectile
arson,5,noun,burning
artsd,5,noun,honorary degree
arulo,5,noun,artificial language
aryan,5,noun,white|primitive
asana,5,noun,position
asarh,5,noun,hindu calendar month
ascii,5,noun,code
ascot,5,noun,cravat
ascus,5,noun,reproductive structure
asdic,5,noun,measuring instrument;navigational instrument
asean,5,noun,association
asian,5,noun,inhabitant;person of color
aside,5,noun,actor's line|message
asker,5,noun,speaker
aspen,5,noun,poplar
asper,5,noun,turkish monetary unit
aspic,5,noun,gelatin
aspis,5,noun,reptile genus
assay,5,noun,appraisal|substance|report|test
assay,5,verb,analyze|act
asset,5,noun,quality
aster,5,noun,flower|structure
ataxy,5,noun,nervous disorder
athar,5,noun,essential oil
atlas,5,noun,reference book|cervical vertebra|column
atole,5,noun,mush
atoll,5,noun,coral reef
atone,5,verb,right
atony,5,noun,condition
atopy,5,noun,allergy
attar,5,noun,essential oil
attic,5,noun,floor|ancient greek|human head|wall
audad,5,noun,wild sheep
audio,5,noun,auditory communication|frequency|recording|component
audit,5,noun,accounting|examination
audit,5,verb,analyze|learn
auger,5,noun,hand tool;snake|drill
aught,5,noun,relative quantity
augur,5,noun,prophet
augur,5,verb,bespeak|predict
aunty,5,noun,kinswoman
auxin,5,noun,phytohormone
avahi,5,noun,mammal genus
avail,5,noun,helpfulness
avail,5,verb,use|help|exploit
avena,5,noun,plant genus
avens,5,noun,subshrub
avert,5,verb,prevent|turn
avoid,5,verb,prevent|abstain|cancel
awake,5,verb,change state
award,5,noun,grant|symbol|gift
award,5,verb,allocate|give
awing,5,verb,frighten
axiom,5,noun,saying|proposition
axone,5,noun,nerve fiber
azeri,5,noun,ethnic group
azide,5,noun,compound
azote,5,noun,nitrogen
aztec,5,noun,nahuatl
azure,5,noun,blue
azure,5,verb,color
babel,5,noun,confusion
babka,5,noun,coffeecake
baboo,5,noun,man
bacca,5,noun,berry
baccy,5,noun,drug of abuse;plant product
bacon,5,noun,cut of pork
badge,5,noun,emblem|feature
badge,5,verb,tag
bagel,5,noun,bun
bahai,5,noun,disciple;teacher
bairn,5,noun,child
baisa,5,noun,omani monetary unit
baiza,5,noun,omani monetary unit
baize,5,noun,fabric
baked,5,verb,cook|create from raw material|heat|be
baker,5,noun,merchant|skilled worker
balas,5,noun,spinel ruby
baldy,5,noun,person
balsa,5,noun,wood|angiospermous tree
bandy,5,verb,play|contend|hash out
banjo,5,noun,stringed instrument
banks,5,noun,slope|financial institution|ridge|array|reserve|funds|slope|container|depository|flight maneuver
banks,5,verb,tip|enclose|transact|act|work|give|cover|believe
banns,5,noun,announcement
bantu,5,noun,african|niger-congo
barbu,5,noun,threadfin
barde,5,verb,decorate
bared,5,verb,uncover|tell|clear|forbid|obstruct|expel|fasten
barge,5,noun,boat
barge,5,verb,rush|transport
baron,5,noun,lord|peer|businessman
barye,5,noun,pressure unit
based,5,verb,situate|drug
basic,5,noun,programming language|commodity
basil,5,noun,herb|herb
basin,5,noun,vessel|containerful|natural depression|geographical area|sink
basis,5,noun,foundation|assumption|part
basso,5,noun,singer|singing voice
baste,5,noun,sewing stitch
baste,5,verb,moisten|beat|sew
batch,5,noun,collection|large indefinite quantity|collection
batch,5,verb,group
bated,5,verb,control|beat|drench|hit|blink|hit|hit|beat
bathe,5,noun,swimming
bathe,5,verb,cleanse|envelop|cleanse
batik,5,noun,fabric
batik,5,verb,hand-dye
batis,5,noun,caryophylloid dicot genus
baton,5,noun,rod|club|staff|rod|sports implement
