lemma,Count,part_of_speech,hyponyms
abase,5,verb,crush;take down
abash,5,verb,confuse
abbot,5,noun,abbe
abide,5,verb,overstay;visit|accept;bear up;pay;sit out;stand for;take a joke;take lying down
abode,5,noun,domicile;home|cliff dwelling;condominium;fixer-upper;hearth;hermitage;homestead;house;lake dwelling;lodge;messuage;semi-detached house;vacation home;yurt
abode,5,verb,overstay;visit|accept;bear up;pay;sit out;stand for;take a joke;take lying down
abort,5,verb,miscarry
abuse,5,noun,child abuse;child neglect;cruelty;persecution|low blow;scurrility;stinger;vituperation|substance abuse
abuse,5,verb,kick around|fracture;take in vain|curse;slang;vilify
acres,5,noun,barony;countryseat;crown land;entail;fief;freehold;glebe;hacienda;homestead;leasehold;manor;plantation;seigneury;smallholding
actor,5,noun,actress;barnstormer;character actor;comedian;ham;heavy;ingenue;leading man;mime;plant;reenactor;scene-stealer;screen actor;star;supernumerary;tragedian;understudy;upstager;walk-on|demon;eager beaver;energizer;go-getter;man of action;powerhouse
adapt,5,verb,adjust;anglicise;christianize;domesticate;domesticate;electrify;fit;gear;naturalize;shoehorn;tailor;transcribe|acclimatize;assimilate;focus;match;obey;readapt;readjust;square
adept,5,noun,track star
adman,5,noun,huckster;promoter;tout
admit,5,verb,attorn;avow;concede;confess;confess;make no bones about;sustain;write off|readmit;repatriate|initiate;involve;readmit|profess|house;seat;sleep
adopt,5,verb,adhere|resume|re-assume|take up
adore,5,verb,fetishize;idolize
adorn,5,verb,applique;bead;bedizen;bejewel;braid;caparison;color;deck;dress ship;emblazon;embroider;enamel;encrust;festoon;fillet;flag;fledge;foliate;fret;fringe;garland;gild;gild the lily;hang;illuminate;illustrate;inlay;lacquer;landscape;panel;pipe;prank;redecorate;scallop;smock;spangle;stick;stucco;tart up;tinsel;trim;trim;vermiculate;wreathe|ornament
adult,5,noun,brachycephalic;caregiver;catch;centrist;character;conservative;dolichocephalic;elder;ex-spouse;host;important person;jack of all trades;liberal;liberal;man;militarist;oldster;pacifist;patrician;pledgee;pledger;professional;sobersides;sophisticate;stay-at-home;stoic;thoroughbred;woman
aegis,5,noun,plastron
affix,5,noun,infix;prefix;suffix
affix,5,verb,plaster;post;seal;stamp|annex|infix;prefix;suffix
agate,5,noun,moss agate
agave,5,noun,agave tequilana;american agave;bear grass;dracaena;maguey;maguey;sansevieria;sisal
agent,5,noun,biological agent;eliminator;impairer;infectious agent;lethal agent;motor;mutagen;quickener;relaxer;repressor;retardant;satisfier;shortener;stressor;teratogen;vasoconstrictor;vector;weakener|bailee;booker;business agent;deputy;employment agent;freight agent;government agent;handler;literary agent;mill agent;next friend;parliamentary agent;proxy;purchasing agent;secret agent;shipping agent;shopper;special agent;talent agent;universal agent|antacid;antiflatulent;antifungal;bacteriostat;bleaching agent;chemical agent;coagulant;coolant;dilutant;disinfectant;drug;emmenagogue;galactagogue;hypnagogue;hypoglycemic agent;inducer;lactifuge;lactogen;mitogen;nerve gas;precipitant;solvating agent;vermicide;viricide|auctioneer;insurance broker;investment banker;real estate broker;ship broker;stockbroker;syndic;travel agent|federal;indian agent;trustbuster
aging,5,noun,mellowing|catabiosis
aging,5,verb,dote;fossilize;turn
agony,5,noun,passion;throe
agree,5,verb,arrange;concede;conclude;reconcile;see eye to eye;settle;subscribe|assent;bargain;plea-bargain|adhere;align;answer;befit;coincide;consist;correlate;corroborate;harmonize;homologize;look;meet;parallel;pattern;resemble;rhyme;square;twin|blend|compromise;conclude
aided,5,verb,avail;benefact;bootstrap;care;expedite;facilitate;help out;serve;subserve;succor|benefit;bring around
aides,5,noun,adjutant general|nursing aide
aides,5,verb,avail;benefact;bootstrap;care;expedite;facilitate;help out;serve;subserve;succor|benefit;bring around
aired,5,verb,get on|interrogate;rerun;satellite;sportscast;telecast|air;bulletin;circulate;hype;publish
alarm,5,noun,automobile horn;burglar alarm;fire alarm;horn;siren|air alert;burglar alarm;fire alarm;foghorn;horn;red flag;siren;tocsin;torpedo
alarm,5,verb,shock|wake
album,5,noun,concept album|autograph album;phonograph album;photograph album;scrapbook;stamp album
alder,5,noun,common alder;green alder;green alder;grey alder;red alder;seaside alder;smooth alder;speckled alder;white alder
aldol,5,noun,acetaldol
alert,5,noun,air alert;red alert;strip alert|air alert;burglar alarm;fire alarm;foghorn;horn;red flag;siren;tocsin;torpedo
alert,5,verb,wake
algae,5,noun,brown algae;chlorella;confervoid algae;cryptomonad;diatom;euglenoid;golden algae;green algae;red algae;seaweed;yellow-green algae
alibi,5,noun,extenuation
alien,5,noun,au pair;exile;gringo;import;metic|foreigner
alien,5,verb,drift apart;wean
align,5,verb,address;collimate;concenter;realign;synchronize;true|fall in line;side|misalign
aline,5,verb,address;collimate;concenter;realign;synchronize;true
alkyl,5,noun,ethyl;methyl
allay,5,verb,abreact
allot,5,verb,allocate;allow|enfranchise;give|assign;deal;give;reallot
allow,5,verb,pass|admit;admit;allow;authorize;digest;furlough;give;legalize;privilege;trust|allowance;vouchsafe|budget for
alloy,5,noun,18-karat gold;22-karat gold;alnico;amalgam;babbitt metal;britannia metal;carboloy;cheoplastic metal;copper-base alloy;dental gold;duralumin;electrum;fusible metal;heavy metal;inconel;invar;nickel-base alloy;nickel silver;oroide;pewter;pinchbeck;pot metal;pyrophoric alloy;shot metal;solder;steel;stellite;sterling silver;tombac;type metal;white gold;white metal;wood's metal
aloes,5,noun,burn plant;cape aloe
altar,5,noun,high altar
