Word,Count,POS,Definition
aalii,5,n,a small Hawaiian tree with hard dark wood
Aalst,5,n,a town in central Belgium
Aalto,5,n,Finnish architect and designer of furniture (1898-1976)
Aaron,5,n,(Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
Aaron,5,n,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)
abaca,5,n,Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
abaya,5,n,(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
abbey,5,n,a monastery ruled by an abbot
abbey,5,n,a convent ruled by an abbess
abbey,5,n,a church associated with a monastery or convent
abbot,5,n,the superior of an abbey of monks
Abies,5,n,true firs
abohm,5,n,a unit of resistance equal to a billionth of an ohm
abort,5,n,the act of terminating a project or procedure before it is completed; I wasted a year of my life working on an abort; he sent a short message requesting an abort due to extreme winds in the area
above,5,n,an earlier section of a written text; for instructions refer to the above
Abuja,5,n,capital of Nigeria in the center of the country
abuse,5,n,a rude expression intended to offend or hurt; when a student made a stupid mistake he spared them no abuse; they yelled insults at the visiting team
abyss,5,n,a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
Accra,5,n,the capital and largest city of Ghana with a deep-water port
ackee,5,n,red pear-shaped tropical fruit with poisonous seeds; flesh is poisonous when unripe or overripe
acorn,5,n,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
Acris,5,n,cricket frogs
actin,5,n,one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form
actor,5,n,a theatrical performer
actor,5,n,a person who acts and gets things done; he's a principal actor in this affair; when you want something done get a doer; he's a miracle worker
Adams,5,n,"a mountain peak in southwestern Washington in the Cascade Range (12,307 feet high)"
Adams,5,n,2nd President of the United States (1735-1826)
Adams,5,n,6th President of the United States; son of John Adams (1767-1848)
Adams,5,n,American Revolutionary leader and patriot; an organizer of the Boston Tea Party and signer of the Declaration of Independence (1722-1803)
Adana,5,n,a city in southern Turkey on the Seyhan River
Adapa,5,n,a Babylonian demigod or first man (sometimes identified with Adam)
addax,5,n,large antelope with lightly spiraled horns of desert regions of northern Africa
adder,5,n,small terrestrial viper common in northern Eurasia
adder,5,n,a machine that adds numbers
adder,5,n,a person who adds numbers
adieu,5,n,a farewell remark; they said their good-byes
Adige,5,n,a river in northern Italy that flows southeast into the Adriatic Sea; Verona is on the Adige
Aditi,5,n,a Hindu goddess who releases from sin or disease; mother of the Adityas
adobe,5,n,sun-dried brick; used in hot dry climates
adobe,5,n,the clay from which adobe bricks are made
adobo,5,n,a dish of marinated vegetables and meat or fish; served with rice
adult,5,n,any mature animal
adult,5,n,a fully developed person from maturity onward
Aedes,5,n,yellow-fever mosquitos
aerie,5,n,any habitation at a high altitude
aerie,5,n,the lofty nest of a bird of prey (such as a hawk or eagle)
Aesir,5,n,(Norse mythology) the chief of gods living at Asgard
Aesop,5,n,Greek author of fables (circa 620-560 BC)
affix,5,n,a linguistic element added to a word to produce an inflected or derived form
