Word,Count,POS,Synonyms
a-one,5,satellite,ace;A-one;crack;first-rate;super;tiptop;topnotch;top-notch;tops
a few,5,satellite,a couple of
about,5,satellite,astir
about,5,adverb,approximately;close to;just about;some;roughly;more or less;around;or so|around|around|around|around|almost;most;nearly;near;nigh;virtually;well-nigh
above,5,adverb,supra|higher up;in a higher place;to a higher place
abuzz,5,satellite,buzzing
acerb,5,satellite,acerbic;astringent|acerbic;acid;acrid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic
acned,5,satellite,pimpled;pimply;pustulate
acrid,5,satellite,pungent|acerb;acerbic;acid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic
acute,5,noun,acute accent;ague
acute,5,satellite,intense|discriminating;incisive;keen;knifelike;penetrating;penetrative;piercing;sharp|acuate;sharp;needlelike
adept,5,noun,ace;champion;sensation;maven;mavin;virtuoso;genius;hotshot;star;superstar;whiz;whizz;wizard;wiz
adept,5,satellite,expert;good;practiced;proficient;skillful;skilful
adult,5,noun,grownup
adult,5,satellite,big;full-grown;fully grown;grown;grownup|pornographic
adust,5,satellite,baked;parched;scorched;sunbaked
afire,5,satellite,ablaze;aflame;aflare;alight;on fire
afoot,5,satellite,underway
afoul,5,satellite,foul;fouled
after,5,adverb,subsequently;later;afterwards;afterward;later on
agape,5,noun,agape love|love feast
agape,5,satellite,gaping
agaze,5,satellite,staring
agile,5,satellite,nimble;quick;spry|nimble
aging,5,noun,ripening;ageing|ageing;senescence
aging,5,verb,age|senesce;age;get on;mature;maturate|age
aging,5,satellite,ageing;senescent
aglow,5,satellite,lambent;lucent;luminous
agone,5,satellite,ago
ahead,5,satellite,in the lead;leading
ahead,5,adverb,in front;before|forward|onward;onwards;forward;forwards;forrader|in advance;beforehand|out front;in the lead
aided,5,verb,help;assist;aid|help;aid
aided,5,adjective,assisted
aired,5,verb,air out;air;aerate|air|air;send;broadcast;beam;transmit|publicize;publicise;air;bare|air|vent;ventilate;air out;air
aired,5,satellite,airy
alary,5,satellite,alar;aliform;wing-shaped
alate,5,satellite,alated
alert,5,noun,qui vive|alerting|alarm;warning signal;alarum
alert,5,verb,alarm
alert,5,adjective,watchful
alert,5,satellite,brisk;lively;merry;rattling;snappy;spanking;zippy|alive;awake
alien,5,noun,foreigner;noncitizen;outlander|stranger;unknown|extraterrestrial being;extraterrestrial
alien,5,verb,alienate|estrange;alienate;disaffect
alien,5,satellite,foreign|exotic
alike,5,adjective,similar;like
alike,5,adverb,likewise
alive,5,adjective,live|animated
alive,5,satellite,active|alert;awake|live
alone,5,satellite,lone;lonely;solitary|only|unique;unequaled;unequalled;unparalleled
alone,5,adverb,entirely;exclusively;solely;only|solo;unaccompanied
aloof,5,satellite,distant;upstage
amber,5,noun,gold
amber,5,satellite,brownish-yellow;yellow-brown
amino,5,noun,amino group
amino,5,adjective,aminic
amiss,5,satellite,awry;haywire;wrong
amiss,5,adverb,awry|imperfectly
amnic,5,adjective,amniotic;amnionic
ample,5,satellite,copious;plenteous;plentiful;rich|sizable;sizeable
amuck,5,satellite,amok;berserk;demoniac;demoniacal;possessed
amuck,5,adverb,amok|amok;murderously
angry,5,satellite,furious;raging;tempestuous;wild
anon.,5,adjective,anonymous
antic,5,noun,joke;prank;trick;caper;put-on
antic,5,verb,clown;clown around
antic,5,satellite,fantastic;fantastical;grotesque
antsy,5,satellite,fidgety;fretful;itchy
apart,5,satellite,isolated;obscure
apart,5,adverb,aside|aside|asunder
apish,5,satellite,apelike
arced,5,verb,arch;curve;arc
arced,5,satellite,arched;arching;arciform;arcuate;bowed
armed,5,verb,arm;build up;fortify;gird|arm
aroid,5,noun,arum
aroid,5,adjective,araceous
aryan,5,noun,Aryan|Aryan;Indo-European
aryan,5,adjective,Indo-European;Indo-Aryan;Aryan
ashen,5,satellite,blanched;bloodless;livid;white
asian,5,noun,Asian;Asiatic
asian,5,adjective,Asian;Asiatic
askew,5,satellite,awry;cockeyed;lopsided;wonky;skew-whiff
askew,5,adverb,awry;skew-whiff
astir,5,satellite,up|about
atilt,5,satellite,canted;leaning;tilted;tipped
atrip,5,satellite,aweigh
attic,5,noun,loft;garret|Attic;Ionic;Ionic dialect;Classical Greek|bean;bonce;noodle;noggin;dome
attic,5,adjective,Attic
auric,5,adjective,aurous
awake,5,verb,wake up;arouse;awaken;wake;come alive;waken
awake,5,satellite,alert;alive
aware,5,adjective,cognizant;cognisant|mindful
awash,5,satellite,afloat;flooded;inundated;overflowing
awful,5,satellite,atrocious;abominable;dreadful;painful;terrible;unspeakable|dire;direful;dread;dreaded;dreadful;fearful;fearsome;frightening;horrendous;horrific;terrible|awed|frightful;terrible;tremendous|amazing;awe-inspiring;awesome;awing
awful,5,adjective,nasty
awful,5,adverb,terribly;awfully;frightfully
awing,5,verb,awe
