Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
a'man,5,A'man,international intelligence agency (generic term),,,,,
a-one,5,ace,A-one,crack,fantastic,first-rate,super,tiptop
a bit,5,a little,a trifle,,,,,
a few,5,a couple of,few (similar term),,,,,
a lot,5,a good deal,a great deal,much,very much,,,
aalii,5,tree (generic term),,,,,,
aalto,5,Aalto,Alvar Aalto,Hugo Alvar Henrik Aalto,architect (generic term),designer (generic term),,
aaron,5,Aaron,Henry Louis Aaron,Hank Aaron,ballplayer (generic term),baseball player (generic term),,
aaron,5,Aaron,priest (generic term),,,,,
abaca,5,Manila hemp,Manilla hemp,hemp (generic term),,,,
abaca,5,Manila hemp,Musa textilis,banana (generic term),banana tree (generic term),,,
abaft,5,aft,astern,fore (antonym),,,,
abamp,5,abampere,current unit (generic term),,,,,
abase,5,humiliate,mortify,chagrin,humble,hurt (generic term),wound (generic term),injure (generic term)
abash,5,embarrass,upset (generic term),discompose (generic term),untune (generic term),disconcert (generic term),discomfit (generic term),
abate,5,slake,slack,decrease (generic term),lessen (generic term),minify (generic term),,
abate,5,let up,slack off,slack,die away,decrease (generic term),diminish (generic term),lessen (generic term)
abaya,5,robe (generic term),,,,,,
abbey,5,church (generic term),church building (generic term),,,,,
abbey,5,convent (generic term),,,,,,
abbey,5,monastery (generic term),,,,,,
abbot,5,archimandrite,superior (generic term),,,,,
abc's,5,rudiment,first rudiment,first principle,alphabet,ABC,ABC's,ABCs
abele,5,white poplar,white aspen,aspen poplar,silver-leaved poplar,Populus alba,poplar (generic term),poplar tree (generic term)
abhor,5,loathe,abominate,execrate,hate (generic term),detest (generic term),,
abide,5,bide,stay,stay (generic term),stay on (generic term),continue (generic term),remain (generic term),
abide,5,digest,endure,stick out,stomach,bear,stand,tolerate
abies,5,Abies,genus Abies,gymnosperm genus (generic term),,,,
abila,5,Jebel Musa,Abila,Abyla,promontory (generic term),headland (generic term),head (generic term),foreland (generic term)
abode,5,residence,address (generic term),,,,,
abode,5,dwelling,home,domicile,habitation,dwelling house,housing (generic term),lodging (generic term)
abohm,5,resistance unit (generic term),,,,,,
abort,5,termination (generic term),ending (generic term),conclusion (generic term),,,,
abort,5,end (generic term),terminate (generic term),,,,,
abort,5,die (generic term),decease (generic term),perish (generic term),go (generic term),exit (generic term),pass away (generic term),expire (generic term)
abort,5,discharge (generic term),expel (generic term),eject (generic term),release (generic term),,,
about,5,astir,active (similar term),,,,,
about,5,approximately,close to,just about,some,roughly,more or less,around
about,5,around,,,,,,
about,5,around,,,,,,
about,5,around,,,,,,
about,5,around,,,,,,
about,5,just about,almost,most,all but,nearly,near,nigh
above,5,preceding (similar term),,,,,,
above,5,section (generic term),subdivision (generic term),,,,,
above,5,supra,below (antonym),,,,,
above,5,higher up,in a higher place,to a higher place,below (antonym),,,
abuja,5,Abuja,capital of Nigeria,Nigerian capital,national capital (generic term),,,
abuse,5,maltreatment,ill-treatment,ill-usage,mistreatment (generic term),,,
abuse,5,insult,revilement,contumely,vilification,disrespect (generic term),discourtesy (generic term),
abuse,5,misuse,use (generic term),usage (generic term),utilization (generic term),utilisation (generic term),employment (generic term),exercise (generic term)
abuse,5,mistreat,maltreat,ill-use,step,ill-treat,treat (generic term),handle (generic term)
abuse,5,pervert,misuse,use (generic term),expend (generic term),,,
abuse,5,clapperclaw,blackguard,shout,attack (generic term),round (generic term),assail (generic term),lash out (generic term)
abuse,5,use (generic term),expend (generic term),,,,,
abuzz,5,buzzing,droning,noisy (similar term),,,,
abyla,5,Jebel Musa,Abila,Abyla,promontory (generic term),headland (generic term),head (generic term),foreland (generic term)
abysm,5,abyss,chasm (generic term),,,,,
abyss,5,abysm,chasm (generic term),,,,,
accho,5,Acre,Akko,Akka,Accho,town (generic term),port (generic term),
accra,5,Accra,capital of Ghana,national capital (generic term),,,,
acerb,5,acerbic,astringent,sour (similar term),,,,
acerb,5,acerbic,acid,acrid,bitter,blistering,caustic,sulfurous
ackee,5,akee,edible fruit (generic term),,,,,
acned,5,pimpled,pimply,pustulate,blemished (similar term),,,
acold,5,cold (similar term),,,,,,
acorn,5,fruit (generic term),,,,,,
acres,5,estate,land,landed estate,demesne,real property (generic term),real estate (generic term),realty (generic term)
acrid,5,pungent,tasty (similar term),,,,,
acrid,5,acerb,acerbic,acid,bitter,blistering,caustic,sulfurous
acris,5,Acris,genus Acris,amphibian genus (generic term),,,,
actin,5,simple protein (generic term),,,,,,
actor,5,histrion,player,thespian,role player,performer (generic term),performing artist (generic term),
actor,5,doer,worker,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term)
acute,5,subacute (similar term),chronic (antonym),,,,,
acute,5,intense,sharp (similar term),,,,,
acute,5,discriminating,incisive,keen,knifelike,penetrating,penetrative,piercing
acute,5,obtuse (antonym),,,,,,
acute,5,acuate,sharp,needlelike,pointed (similar term),,,
acute,5,critical (similar term),,,,,,
acute,5,acute accent,ague,accent (generic term),accent mark (generic term),,,
adage,5,proverb,saw,byword,saying (generic term),expression (generic term),locution (generic term),
adams,5,Adams,Sam Adams,Samuel Adams,American Revolutionary leader (generic term),,,
adams,5,Adams,John Quincy Adams,President Adams,President John Quincy Adams,President of the United States (generic term),United States President (generic term),President (generic term)
adams,5,Adams,John Adams,President Adams,President John Adams,President of the United States (generic term),United States President (generic term),President (generic term)
adams,5,Adams,Mount Adams,mountain peak (generic term),,,,
adana,5,Adana,Seyhan,city (generic term),metropolis (generic term),urban center (generic term),,
adapa,5,Adapa,Semitic deity (generic term),,,,,
adapt,5,accommodate,change (generic term),alter (generic term),vary (generic term),,,
adapt,5,adjust,conform,change (generic term),,,,
addax,5,Addax nasomaculatus,antelope (generic term),,,,,
adder,5,calculator (generic term),reckoner (generic term),figurer (generic term),estimator (generic term),computer (generic term),,
adder,5,calculator (generic term),calculating machine (generic term),,,,,
adder,5,common viper,Vipera berus,viper (generic term),,,,
addle,5,muddle,puddle,jumble (generic term),confuse (generic term),mix up (generic term),,
addle,5,spoil (generic term),go bad (generic term),,,,,
adept,5,expert,good,practiced,proficient,skillful,skilful,skilled (similar term)
adept,5,ace,champion,sensation,maven,mavin,virtuoso,genius
adieu,5,adios,arrivederci,auf wiedersehen,au revoir,bye,bye-bye,cheerio
adige,5,Adige,River Adige,river (generic term),,,,
adios,5,adieu,arrivederci,auf wiedersehen,au revoir,bye,bye-bye,cheerio
aditi,5,Aditi,Hindu deity (generic term),,,,,
adman,5,advertiser,advertizer,publicist (generic term),publicizer (generic term),publiciser (generic term),,
admit,5,acknowledge,declare (generic term),adjudge (generic term),hold (generic term),deny (antonym),,
admit,5,allow in,let in,intromit,permit (generic term),allow (generic term),let (generic term),countenance (generic term)
admit,5,let in,include,permit (generic term),allow (generic term),let (generic term),countenance (generic term),exclude (antonym)
admit,5,accept,take,take on,accept (generic term),take (generic term),have (generic term),
admit,5,allow,,,,,,
admit,5,accommodate,hold,,,,,
admit,5,serve (generic term),do (generic term),,,,,
admix,5,blend (generic term),flux (generic term),mix (generic term),conflate (generic term),commingle (generic term),immix (generic term),fuse (generic term)
adobe,5,clay (generic term),,,,,,
adobe,5,adobe brick,brick (generic term),,,,,
adobo,5,dish (generic term),,,,,,
adopt,5,follow,espouse,choose (generic term),take (generic term),select (generic term),pick out (generic term),
adopt,5,borrow,take over,take up,accept (generic term),take (generic term),have (generic term),
adopt,5,assume,take on,take over,take office (generic term),,,
adopt,5,assume,acquire,take on,take,change (generic term),,
adopt,5,take in,take (generic term),,,,,
adopt,5,dramatize,dramatise,write (generic term),compose (generic term),pen (generic term),indite (generic term),
adopt,5,espouse,embrace,sweep up,accept (generic term),,,
adore,5,love (generic term),,,,,,
adorn,5,decorate,grace,ornament,embellish,beautify,change (generic term),alter (generic term)
adorn,5,deck,decorate,grace,embellish,beautify,be (generic term),
adorn,5,invest,clothe,equip (generic term),fit (generic term),fit out (generic term),outfit (generic term),
